Name                                                             | Id                             | Web Services | Styles                                                                                                
800//HRDPS.CONTINENTAL.PRES - Relative humidity at 800.0 mb      | HRDPS.CONTINENTAL.PRES_HR.800  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
750//HRDPS.CONTINENTAL.PRES - Relative humidity at 750.0 mb      | HRDPS.CONTINENTAL.PRES_HR.750  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
700//HRDPS.CONTINENTAL.PRES - Relative humidity at 700.0 mb      | HRDPS.CONTINENTAL.PRES_HR.700  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
650//HRDPS.CONTINENTAL.PRES - Relative humidity at 650.0 mb      | HRDPS.CONTINENTAL.PRES_HR.650  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
600//HRDPS.CONTINENTAL.PRES - Relative humidity at 600.0 mb      | HRDPS.CONTINENTAL.PRES_HR.600  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
550//HRDPS.CONTINENTAL.PRES - Relative humidity at 550.0 mb      | HRDPS.CONTINENTAL.PRES_HR.550  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
500//HRDPS.CONTINENTAL.PRES - Relative humidity at 500.0 mb      | HRDPS.CONTINENTAL.PRES_HR.500  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
450//HRDPS.CONTINENTAL.PRES - Relative humidity at 450.0 mb      | HRDPS.CONTINENTAL.PRES_HR.450  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
400//HRDPS.CONTINENTAL.PRES - Relative humidity at 400.0 mb      | HRDPS.CONTINENTAL.PRES_HR.400  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
350//HRDPS.CONTINENTAL.PRES - Relative humidity at 350.0 mb      | HRDPS.CONTINENTAL.PRES_HR.350  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
300//HRDPS.CONTINENTAL.PRES - Relative humidity at 300.0 mb      | HRDPS.CONTINENTAL.PRES_HR.300  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
275//HRDPS.CONTINENTAL.PRES - Relative humidity at 275.0 mb      | HRDPS.CONTINENTAL.PRES_HR.275  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
250//HRDPS.CONTINENTAL.PRES - Relative humidity at 250.0 mb      | HRDPS.CONTINENTAL.PRES_HR.250  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
225//HRDPS.CONTINENTAL.PRES - Relative humidity at 225.0 mb      | HRDPS.CONTINENTAL.PRES_HR.225  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
200//HRDPS.CONTINENTAL.PRES - Relative humidity at 200.0 mb      | HRDPS.CONTINENTAL.PRES_HR.200  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
175//HRDPS.CONTINENTAL.PRES - Relative humidity at 175.0 mb      | HRDPS.CONTINENTAL.PRES_HR.175  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
150//HRDPS.CONTINENTAL.PRES - Relative humidity at 150.0 mb      | HRDPS.CONTINENTAL.PRES_HR.150  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
100//HRDPS.CONTINENTAL.PRES - Relative humidity at 100.0 mb      | HRDPS.CONTINENTAL.PRES_HR.100  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
50//HRDPS.CONTINENTAL.PRES - Relative humidity at 50.0 mb        | HRDPS.CONTINENTAL.PRES_HR.50   | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
1015//HRDPS.CONTINENTAL.PRES - Specific humidity at 1015.0 mb    | HRDPS.CONTINENTAL.PRES_HU.1015 | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
