Nom                                                                          | Id                             | Services web | Styles                                                                                                
300//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 300.0 mb             | HRDPS.CONTINENTAL.PRES_ES.300  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
275//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 275.0 mb             | HRDPS.CONTINENTAL.PRES_ES.275  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
250//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 250.0 mb             | HRDPS.CONTINENTAL.PRES_ES.250  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
225//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 225.0 mb             | HRDPS.CONTINENTAL.PRES_ES.225  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
200//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 200.0 mb             | HRDPS.CONTINENTAL.PRES_ES.200  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
175//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 175.0 mb             | HRDPS.CONTINENTAL.PRES_ES.175  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
150//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 150.0 mb             | HRDPS.CONTINENTAL.PRES_ES.150  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
100//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 100.0 mb             | HRDPS.CONTINENTAL.PRES_ES.100  | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
50//HRDPS.CONTINENTAL.PRES - Écart du point de rosée à 50.0 mb               | HRDPS.CONTINENTAL.PRES_ES.50   | WMS, WCS     | DEFAULT: DEWPOINTDEP                                                                                  
1015//HRDPS.CONTINENTAL.PRES - Humidité relative à 1015.0 mb                 | HRDPS.CONTINENTAL.PRES_HR.1015 | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
1000//HRDPS.CONTINENTAL.PRES - Humidité relative à 1000.0 mb                 | HRDPS.CONTINENTAL.PRES_HR.1000 | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
985//HRDPS.CONTINENTAL.PRES - Humidité relative à 985.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.985  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
970//HRDPS.CONTINENTAL.PRES - Humidité relative à 970.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.970  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
950//HRDPS.CONTINENTAL.PRES - Humidité relative à 950.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.950  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
925//HRDPS.CONTINENTAL.PRES - Humidité relative à 925.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.925  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
900//HRDPS.CONTINENTAL.PRES - Humidité relative à 900.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.900  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
875//HRDPS.CONTINENTAL.PRES - Humidité relative à 875.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.875  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
850//HRDPS.CONTINENTAL.PRES - Humidité relative à 850.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.850  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
800//HRDPS.CONTINENTAL.PRES - Humidité relative à 800.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.800  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
750//HRDPS.CONTINENTAL.PRES - Humidité relative à 750.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.750  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
700//HRDPS.CONTINENTAL.PRES - Humidité relative à 700.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.700  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
650//HRDPS.CONTINENTAL.PRES - Humidité relative à 650.0 mb                   | HRDPS.CONTINENTAL.PRES_HR.650  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
